"Notes"	"Month"	"Month Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Apr., 1999"	"1999/04"	"Minnesota"	"27"	90	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Mississippi"	"28"	59	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Missouri"	"29"	150	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Montana"	"30"	25	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Nebraska"	"31"	35	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Nevada"	"32"	27	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"New Hampshire"	"33"	17	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"New Jersey"	"34"	191	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"New Mexico"	"35"	42	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"New York"	"36"	326	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"North Carolina"	"37"	192	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"North Dakota"	"38"	19	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Ohio"	"39"	317	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Oklahoma"	"40"	75	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Oregon"	"41"	76	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Pennsylvania"	"42"	336	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Rhode Island"	"44"	17	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"South Carolina"	"45"	94	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"South Dakota"	"46"	17	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Tennessee"	"47"	137	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Texas"	"48"	408	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Utah"	"49"	39	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Vermont"	"50"	16	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Virginia"	"51"	130	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Washington"	"53"	118	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"West Virginia"	"54"	66	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Wisconsin"	"55"	96	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Alabama"	"01"	119	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Arizona"	"04"	98	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Arkansas"	"05"	50	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"California"	"06"	507	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Colorado"	"08"	53	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Connecticut"	"09"	69	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Delaware"	"10"	14	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"District of Columbia"	"11"	21	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Florida"	"12"	353	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Georgia"	"13"	126	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Hawaii"	"15"	14	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Idaho"	"16"	22	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Illinois"	"17"	240	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Indiana"	"18"	131	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Iowa"	"19"	65	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Kansas"	"20"	51	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Kentucky"	"21"	79	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Louisiana"	"22"	121	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Maine"	"23"	23	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Maryland"	"24"	127	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Massachusetts"	"25"	124	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Michigan"	"26"	193	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Minnesota"	"27"	91	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Mississippi"	"28"	65	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Missouri"	"29"	124	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Montana"	"30"	22	Not Applicable	Not Applicable
